iddblp;idscholar;id_d;id_s
conf/vldb/Levy96;lDTPyBMtHVwJ;66260;14
conf/vldb/NatsevCSLV01;173qcCip5coJ;65321;15
conf/vldb/HuntAI01;0GT_dHqK5roJ;65401;17
journals/sigmod/Stonebraker02;0HMk-YUh4i8J;64514;26
conf/sigmod/FranklinZ98;K_qOxjIJWpQJ;65373;39
conf/vldb/CormodeDIM02;LU7BfMnARgYJ;66455;99
conf/vldb/ScheuermannSV96;42whesD5Rl8J;66094;145
conf/sigmod/LivnyRBCDLMW97;izDXhqRW9AYJ;65599;103
conf/sigmod/LivnyRBCDLMW97a;izDXhqRW9AYJ;65588;103
conf/vldb/YuV00;j2gOIcgWxb4J;65466;104
journals/tods/KonopnickiS98;BKUtItHoTX8J;66626;109
conf/sigmod/AmbiteABKMMMPT98;YAkpVC1qgaIJ;65454;119
conf/sigmod/ZaianeHLCC98;Mqg5svJwsCoJ;65484;136
journals/sigmod/CareyS99;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222;64696;169
conf/sigmod/AcharyaPR99;KrVgTXcNPPUJ;65289;178
conf/sigmod/LometW98;QPpUo7m3A7cJ;65369;182
conf/vldb/HulgeriS02;syoqNSarAscJ;66477;183
journals/sigmod/GobleR02;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222;64517;194
conf/sigmod/ArasuG03;zN8ngmWNDlgJ;64480;205
conf/sigmod/ColeG94;z_W8jZ203sUJ;66013;244
conf/vldb/Mina98;ButmJWjGXusJ;66047;259
journals/tods/DekhtyarRS01;AnNzb6Gr7HkJ;66586;264
conf/sigmod/MeccaAMMS98;I-fmtPvluKEJ;65531;294
conf/sigmod/AdaliSS99;c2dH5RxNj6kJ;65225;296
conf/vldb/WuFSP00;tr_rawv-6SMJ;65471;301
conf/vldb/DillKMRST01;XagphbDrGQMJ;65299;363
journals/sigmod/ChienTZ01;cjBpI3TcSWsJ;64410;371
conf/vldb/Schoning98;HEJ1Z4Q_xXMJ;66033;383
journals/sigmod/DrewHKKLLLSW95;9fcJjh5vHn8J;65119;407
conf/sigmod/CareyDFHMNSSTTWZ94;GJ_7cqL0d70J;66041;416
conf/sigmod/GuhaRS98;Y8HMa1ZZE6sJ;65400;434
journals/sigmod/ShethBS99;NLklGN91cZgJ;64685;436
conf/sigmod/ONeilQ97;FOruO1PeowAJ;65565;463
conf/vldb/ChatziantoniouR96;46FVYbhr0WoJ;66251;465
conf/vldb/Chawathe99;w6VtZRVAZV8J;65787;477
conf/vldb/DoDJJR98;69kmXg9nRZkJ;66020;480
journals/vldb/FiletoLPAM03;VWbm4EeeFNMJ;66557;491
conf/sigmod/SarawagiTA98;0Vmsc0oib2kJ;65447;497
conf/vldb/GoldsteinR00;30fMB9_zBm0J;65482;508
conf/sigmod/JagatheesanR03;QDqI_QZyy10J;64556;536
conf/vldb/Koch03;rhxIrsQkm5AJ;66344;541
conf/sigmod/EmbleyJN99;O_SMlr3bFBMJ;65338;559
conf/sigmod/FernandezFKLS97;ek26aiEheesJ;65642;566
conf/sigmod/FaloutsosRM94;qaoTK_zX3awJ;65978;586
journals/vldb/HelmerM03;fz4PKDuWGmoJ;66552;588
conf/vldb/KochBG03;xCbXlJHLR48J;66351;590
conf/sigmod/VingralekBW94;qtSeY_1Q5YUJ;65986;605
conf/sigmod/AcharyaAFZ95;0lAHCM-lcjIJ;65804;608
journals/sigmod/KuokFW98;LwZe_nTD__UJ;64879;627
conf/vldb/CormodeKMS03;0ZQnv8tOzBwJ;66380;637
conf/vldb/ChangG97;bZlpjMDZD5UJ;65972;643
conf/vldb/ChaudhuriGN03;sAYCyUcugbYJ;66276;660
conf/vldb/DarFJST96;ThLxMqqAxjIJ;66255;661
conf/sigmod/KuhnTS94;JnV4W3TKPxMJ;66109;679
journals/tods/WandSW99;nrEQsOAiE44J;66637;706
conf/vldb/ChaudhuriW00;OuM0E0BhEXIJ;65663;710
conf/vldb/TianD03;l7glyH7ltuQJ;66368;717
journals/sigmod/Camps02;JclQFC-1s18J;64304;734
conf/sigmod/ChandrasekaranCDFHHKMRS03;onlybp6SAAsJ;64699;740
journals/vldb/CatarciSC97;-qsHBe_0vI4J;66687;751
conf/vldb/PottingerB03;rpAwxzbuM_oJ;66267;801
conf/sigmod/FaloutsosRM94;5fCkUaG8A-gJ;65978;805
conf/vldb/KamelF94;b1gS8kz09xcJ;64523;814
journals/sigmod/SommerGB02;8l5_eKZcCh8J;64498;817
conf/vldb/RothS97;HbyP8kT8KRoJ;65938;839
conf/sigmod/Hellerstein94;Nn0LzB8rUPEJ;66048;843
conf/sigmod/KornMZ03;6VAQeD6muakJ;64680;849
conf/vldb/YanL95;uy8MOTvPkOsJ;66244;850
conf/vldb/KamelF94;A7WoAzxOJ9YJ;64523;856
conf/sigmod/KrishnamurthyBN99;qS4jhfgPbm8J;65253;913
journals/vldb/ShanmugasundaramSBCLPR01;_bdp5T8SSuoJ;66755;925
conf/vldb/ShanmugasundaramSBCLPR00;_bdp5T8SSuoJ;65455;925
journals/tods/HjaltasonS99;xuoJNqOArTsJ;66638;930
journals/vldb/MedjahedBBNE03;18FFG2HC51oJ;66726;938
journals/vldb/ShyyASL96;1J2ubL0l2UMJ;66773;999
conf/vldb/KietzRS97;L4k3lAWc-JgJ;66153;1017
conf/vldb/BohlenSS96;gcoLSYEk0HIJ;66073;1032
journals/sigmod/Fong97;rgJU30QjbhkJ;64829;1042
conf/vldb/RiedelGF98;DFXKdJJtFsQJ;65827;1044
conf/vldb/AgrawalS94;QlSaVou-Zt4J;64364;1046
conf/sigmod/NgLHP98;_2mjU5KqoVgJ;65387;1049
journals/sigmod/NascimentoSP03;G3QWq2T08SEJ;66182;1051
journals/sigmod/BorgidaCS98;url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290595%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222;64874;1054
journals/vldb/KashyapS96;AaTvigmNyAcJ;66784;1079
conf/vldb/AgrawalPWZ95;mB8W6em6zi8J;64368;1094
conf/sigmod/BerchtoldK97;DNVHTz7tMywJ;65635;1112
conf/sigmod/BabcockBDM03;a2wqpKma5J4J;64488;1127
journals/vldb/GutingS95;ae7u4oyTu80J;66814;1149
conf/vldb/MengLYWCR98;8nbZx7j7RAUJ;65882;1177
conf/sigmod/ZhangRL96;IVWPCLaGIPcJ;65686;1180
journals/sigmod/BonnetBDL03;aovCRhocZUcJ;66098;1191
conf/vldb/ViverosNR96;lsY_rXfEDDIJ;66071;1233
conf/vldb/DeWittKLPY94;xcwQARsnK4gJ;64439;1237
conf/sigmod/LakshmananPZ03;rNu93TfKkd4J;64526;1245
conf/sigmod/DeutschFS99;twQNwr-jFmoJ;65334;1263
journals/sigmod/AtkinsonDJPS96;JHVWab3P4zIJ;64996;1272
journals/sigmod/Aberer03a;6MY_fFzgHtgJ;66879;1278
conf/vldb/LakshmananSS96;8sohtsoGrycJ;66844;1279
conf/sigmod/FlorescuLMS99;mH0XY3h8UlcJ;65259;1297
journals/sigmod/ShethM02;uwGRgxWWCtUJ;66861;1298
journals/sigmod/Vianu03;JgenqfLQC1UJ;66243;1318
conf/sigmod/GibbsBT94;6xazkGA_aewJ;65960;1344
conf/sigmod/ZhugeGHW95;U-mOyJdYzqIJ;65874;1365
conf/sigmod/AshleyFHLNP95;FnnILIjz08EJ;65939;1371
journals/sigmod/BilirisP96;fu9j50Kk4Y4J;64922;1403
conf/sigmod/GravanoGT94;iwS7dFGYcyEJ;66008;1406
conf/sigmod/Dyreson03;l7KC1qG6OGEJ;64640;1437
conf/vldb/SavasereON95;rmfK2zWkuagJ;66217;1456
journals/sigmod/JaegerF95;oacFELqmw0cJ;65048;1458
journals/vldb/IshakbeyogluO98;O9A-15rmzOsJ;66704;1464
conf/vldb/WangYM97;bnkP_MXjTPcJ;66132;1467
conf/sigmod/ChooOLCGBPS96;I0KBB-n-eF8J;65752;1469
conf/sigmod/OConnellISWABCCLPWW96;I0KBB-n-eF8J;65623;1469
journals/sigmod/TaninBS96;HMIklQOvEfoJ;65016;1527
conf/sigmod/ClossmanSHKPB98;__YO1CE_aKcJ;65523;1503
journals/vldb/KellerB96;tVoqZpEEHv8J;66775;1506
conf/vldb/ChenDZ03;5MbqS0-RzBIJ;66339;1514
conf/vldb/GalhardasFSSS01;XtFcz806WQEJ;65409;1518
conf/vldb/CarinoO98;iaOLRaqTWmEJ;66035;1526
conf/vldb/AgrawalLSS95;Y799jSppkKEJ;66230;1541
conf/sigmod/LiBCS00;4abl38Q9iH4J;65177;1555
conf/vldb/LudascherMP02;cxnuI54po5EJ;66480;1561
conf/sigmod/AdaliCPS96;rmtEGXAXHKIJ;65688;1564
conf/vldb/GottlobKP02;Pk09A5EmsOoJ;66454;1578
conf/sigmod/ShklarSKT95;4IaWCBK6dMQJ;65933;1603
conf/vldb/ChristodoulakisTZ97;D0z0BDnbnFcJ;66127;1619
conf/sigmod/ShanmugasundaramNSR99;w_oXiQ-bR70J;65222;1623
conf/sigmod/ChristophidesACS94;MNQLc3rxq2kJ;65983;1657
conf/vldb/GoodmanRS94;8CCHAKnGJ1EJ;64448;1690
journals/vldb/BarbaraI95;gyC0D8oJbQMJ;66799;1692
conf/sigmod/BarbaraI94;gyC0D8oJbQMJ;66016;1692
journals/vldb/ClaussenKKW00;DSF-ukHbE64J;66748;1696
conf/vldb/SahuguetA99;Mi0eqxwTUwEJ;65721;1697
conf/vldb/GingrasL98;VSBQl2qbF8UJ;65842;1737
journals/sigmod/OoiST03;gpjVvUtM6H8J;66207;1748
journals/sigmod/DomenigD99;bi68bm0miqkJ;64734;1751
conf/sigmod/KotidisR99;qzjtGDo7OuMJ;65210;1764
conf/sigmod/BrinkhoffKSS94;RWhfLTpLoQUJ;66034;1791
journals/tods/FukudaMMT01;lmXiI4fB9vgJ;66598;1793
conf/sigmod/FukudaMMT96;lmXiI4fB9vgJ;65704;1793
conf/vldb/SteenhagenABB94;aCZo57LF-4sJ;64432;1797
conf/sigmod/DattaDRTV01;qK-N8yVLSWUJ;64880;1815
conf/sigmod/DanS95;qjHzY4uEG7gJ;65883;1822
journals/vldb/AslanM99;vZcZ-UX6h7UJ;66642;1823
journals/sigmod/Grohe02;RnmBv4e85pMJ;64391;1826
conf/sigmod/AgrawalASY97;-XBy73K2jq0J;65608;1829
journals/tods/FraternaliT95;sh-E7oORhVMJ;66529;1845
conf/vldb/ChanI99;QV20-69j6YYJ;65751;1849
conf/sigmod/BressanGFJHKLMPQSS97;1akMDtKXUFAJ;65657;1853
journals/vldb/SofferS98;miubKxLrikUJ;66696;1863
journals/tods/Galindo-LegariaR97;TQ8M8qOzJO8J;66542;1873
conf/vldb/DiaoLCT00;lzbvXZxLKJIJ;65629;1883
journals/vldb/DattaDVRN01;q0Ovw6QUk3MJ;66769;1896
conf/vldb/DuttaDMRT00;q0Ovw6QUk3MJ;65433;1896
conf/vldb/HanF95;hDi8HKsDrV0J;66218;1900
conf/sigmod/Kramer97;noTo81QxmHQJ;65584;1904
conf/vldb/LakshmananSS96;AVyGNVp-ENcJ;66844;1905
conf/sigmod/BersonGM95;AdvsjAZhCc8J;65822;1918
conf/sigmod/HarinarayanRU96;Fyek_kCB-qkJ;65797;1954
journals/tods/Kuo96;VnenpXoUAmwJ;66539;1975
journals/sigmod/Zhang95;f86VsMJZ9gAJ;65057;1979
conf/sigmod/ImielinskiVB94;8EC1IBh8MZkJ;65968;1994
conf/sigmod/LeeKC99;c-5n9qQKLaEJ;65271;2001
conf/sigmod/HoAMS97;xbt2t9kYWLwJ;65569;2010
conf/sigmod/SrikantA96;oAlX0rVQqlIJ;65705;2016
conf/vldb/ShaferAM96;iU7EJFViYvgJ;66878;2039
conf/sigmod/RundensteinerKRCJM96;Rh68dFgQfS4J;65747;2043
conf/sigmod/WuAA01;QKlyEeIFW24J;65015;2047
journals/tods/CasatiCPP99;b6-zHfA02TgJ;66641;2051
conf/sigmod/SeshadriP97;Df8s-N_5U3EJ;65618;2055
conf/sigmod/TsurUACMNR98;EkZGcIaXlkIJ;65481;2061
conf/vldb/AgrawalCN00;Jx63MEaw52oJ;65419;2062
conf/sigmod/BrinMUT97;APKRvVY4Ah8J;65502;2063
conf/sigmod/ZhangNDLL01;RkUnSP2Vkj0J;64980;2070
conf/vldb/DonjerkovicR99;SgokkSrdkyAJ;65699;2072
conf/vldb/WeberSNSS03;wjrZrNrZl4kJ;66299;2077
journals/sigmod/EisenbergM99a;e3s4OFTeBqwJ;64779;2118
journals/tods/MamoulisP01;Rg8V7NSK9tMJ;66606;2125
conf/sigmod/GrayHOS96;_pjwP11t_y8J;65676;2151
conf/sigmod/QuassWGHLMNRRAUW96;cJgYQWElaAgJ;65755;2159
conf/sigmod/NguyenACP01;VCiXh8qcrIMJ;65033;2166
conf/vldb/BrownS95;F-v-VG2RBQoJ;64310;2175
conf/vldb/EicklerGK95;63QhLG57QssJ;66184;2178
journals/tods/LitwinN96;l0W27c1C3NwJ;66541;2185
conf/vldb/CeriFP99;CpA5QWyIRr4J;65742;2186
conf/sigmod/MattosM95;wF_GdZPkCnQJ;65921;2187
conf/vldb/JagadishLS99;5d1R2mD-7MkJ;65690;2194
conf/vldb/RossS97;5Y_l1wlPo04J;65934;2200
journals/tods/DeyS96;Jfo57_VwkfUJ;66535;2201
journals/sigmod/DongS00;gH_HDDJghbAJ;64539;2218
journals/vldb/Guting94;hoNylhoOWr4J;66239;2245
conf/vldb/YangG01;UZBoDXflaXoJ;65359;2258
conf/vldb/ShengBDM02;ZQdRRjCxEX0J;66419;2272
conf/sigmod/OlstonW02;pBKI-JCAlcIJ;64665;2300
journals/tods/CiacciaP02;dArDZIV5VE4J;65201;2308
conf/vldb/OlstonW00;rrOV-TanTuYJ;65651;2319
conf/sigmod/AcharyaGP00;WGWZ2cNZW2YJ;65046;2325
conf/sigmod/DavisonG95;Ed8EH4p2vBMJ;65809;2326
conf/sigmod/MaheshwariL97;DI_v0vb6784J;65561;2329
conf/vldb/MiloZ98;UF-Z2VPtU6sJ;65847;2362
journals/sigmod/MaximilienS02;HqytuZsDNx8J;66869;2381
conf/sigmod/RoussopoulosKV95;Dd0_gi74jCQJ;65849;2390
conf/sigmod/RiedewaldAA02;AFKhL1I3L9AJ;64671;2399
conf/sigmod/ZhaoDN97;YwLoGdTgG-sJ;65503;2414
journals/vldb/ChidlovskiiB00;ysC3V2Lu3M8J;66658;2415
conf/vldb/SchmidtWKCMB02;CvGGYMrKR2sJ;66410;2424
conf/sigmod/LiGS02;DZzqgw2TJ-MJ;64791;2433
conf/vldb/RamaswamyMS98;WTYQ40Rn_tUJ;65995;2458
journals/tods/CasatiCPP99;vFYKSBlZfK4J;66641;2468
conf/vldb/SeshadriLR97;kIzNmOrszKoJ;66137;2490
journals/sigmod/ArpinarD00;YQQMvRraFBwJ;64575;2511
conf/sigmod/DeolaseeKPRS01;5OTQGZ1gb18J;64917;2514
conf/vldb/BouganimNPW03;5oXuo8dJ6qAJ;66319;2519
conf/vldb/PatonG01;mHCrMuxQnBsJ;65350;2525
conf/sigmod/CranorGJSS02;89Avc7qz9YoJ;64733;2532
journals/tods/PolyzoisG94;p7x1zGD_bkEJ;66574;2556
conf/vldb/HoelS95;hwBMsP8-fXcJ;64308;2567
